info: May-04-2023 02:55:45: 	Server on port 3000
info: May-04-2023 02:55:46: 	Database connection established.
error: May-04-2023 05:07:18: 	404 error
error: May-04-2023 05:07:38: 	404 error
error: May-04-2023 05:07:57: 	404 error
error: May-04-2023 05:08:21: 	404 error
error: May-04-2023 05:09:37: 	404 error
info: May-04-2023 05:09:37: 	Server started on port 3000
info: May-04-2023 05:09:37: 	Database connection established.
error: May-04-2023 05:16:53: 	404 error
info: May-04-2023 05:16:53: 	Server started on port 3000
info: May-04-2023 05:16:54: 	Database connection established.
info: May-04-2023 05:17:16: 	Server started on port 3000
info: May-04-2023 05:17:16: 	Database connection established.
info: May-04-2023 05:26:58: 	Server started on port 3000
info: May-04-2023 05:26:58: 	Database connection established.
info: May-04-2023 05:30:39: 	Server started on port 3000
info: May-04-2023 05:30:39: 	Database connection established.
info: May-04-2023 05:32:19: 	Server started on port 3000
info: May-04-2023 05:32:20: 	Database connection established.
info: May-04-2023 05:32:26: 	Server started on port 3000
info: May-04-2023 05:32:26: 	Database connection established.
info: May-04-2023 05:36:21: 	Server started on port 3000
info: May-04-2023 05:36:21: 	Database connection established.
info: May-04-2023 05:41:12: 	Server started on port 3000
info: May-04-2023 05:41:12: 	Database connection established.
info: May-04-2023 05:42:00: 	Server started on port 3000
info: May-04-2023 05:42:00: 	Database connection established.
info: May-04-2023 05:42:08: 	Server started on port 3000
info: May-04-2023 05:42:08: 	Database connection established.
info: May-04-2023 05:42:36: 	User undefined created successfully
info: May-04-2023 05:43:20: 	Server started on port 3000
info: May-04-2023 05:43:20: 	Database connection established.
info: May-04-2023 05:43:27: 	User [object SequelizeInstance:user] created successfully
info: May-04-2023 05:43:51: 	Server started on port 3000
info: May-04-2023 05:43:51: 	Database connection established.
info: May-04-2023 05:43:55: 	User undefined created successfully
info: May-04-2023 05:44:37: 	Server started on port 3000
info: May-04-2023 05:44:37: 	Database connection established.
info: May-04-2023 05:44:43: 	User undefined created successfully
info: May-04-2023 05:45:00: 	Server started on port 3000
info: May-04-2023 05:45:00: 	Database connection established.
info: May-04-2023 05:45:03: 	User undefined created successfully
info: May-04-2023 05:45:29: 	Server started on port 3000
info: May-04-2023 05:45:29: 	Database connection established.
info: May-04-2023 05:45:57: 	User undefined created successfully
info: May-04-2023 05:46:27: 	Server started on port 3000
info: May-04-2023 05:46:27: 	Database connection established.
info: May-04-2023 05:46:33: 	User undefined created successfully
info: May-04-2023 05:46:48: 	Server started on port 3000
info: May-04-2023 05:46:48: 	Database connection established.
info: May-04-2023 05:47:08: 	User undefined created successfully
info: May-04-2023 05:47:23: 	Server started on port 3000
info: May-04-2023 05:47:23: 	Database connection established.
info: May-04-2023 05:48:26: 	User 12 created successfully
info: May-04-2023 05:48:59: 	Server started on port 3000
info: May-04-2023 05:48:59: 	Database connection established.
info: May-04-2023 05:50:27: 	Server started on port 3000
info: May-04-2023 05:50:27: 	Database connection established.
info: May-04-2023 05:51:44: 	Server started on port 3000
info: May-04-2023 05:51:44: 	Database connection established.
info: May-04-2023 05:52:48: 	Server started on port 3000
info: May-04-2023 05:52:48: 	Database connection established.
info: May-04-2023 05:53:04: 	Server started on port 3000
info: May-04-2023 05:53:05: 	Database connection established.
info: May-04-2023 05:53:32: 	Server started on port 3000
info: May-04-2023 05:53:32: 	Database connection established.
info: May-04-2023 05:53:33: 	User 1 authenticated successfully
info: May-04-2023 05:53:34: 	User 13 created successfully by user 1 (Admin)
info: May-04-2023 05:54:11: 	Server started on port 3000
info: May-04-2023 05:54:11: 	Database connection established.
info: May-04-2023 05:54:18: 	User 1 authenticated successfully
info: May-04-2023 05:54:34: 	Server started on port 3000
info: May-04-2023 05:54:34: 	Database connection established.
info: May-04-2023 05:54:39: 	User 1 authenticated successfully
info: May-04-2023 05:54:39: 	User 1 (Admin) authenticated successfully
info: May-04-2023 05:54:41: 	User 14 created successfully by user 1 (Admin)
info: May-04-2023 05:57:07: 	Server started on port 3000
info: May-04-2023 05:57:07: 	Database connection established.
info: May-04-2023 05:57:18: 	Server started on port 3000
info: May-04-2023 05:57:18: 	Database connection established.
info: May-04-2023 05:57:35: 	User 1 (admin)authenticated successfully
info: May-04-2023 05:57:37: 	User 15 created successfully by user 1 (Admin)
info: May-04-2023 05:58:30: 	Server started on port 3000
info: May-04-2023 05:58:30: 	Database connection established.
info: May-06-2023 02:28:48: 	Server started on port 3000
info: May-06-2023 02:28:48: 	Database connection established.
error: May-06-2023 02:28:51: 	/sign/in error (500)
info: May-06-2023 02:29:05: 	Server started on port 3000
info: May-06-2023 02:29:05: 	Database connection established.
error: May-06-2023 02:29:09: 	/sign/in error (500)
info: May-06-2023 02:29:25: 	Server started on port 3000
info: May-06-2023 02:29:25: 	Database connection established.
info: May-06-2023 02:29:34: 	Server started on port 3000
info: May-06-2023 02:29:34: 	Database connection established.
error: May-06-2023 02:29:34: 	/sign/in error (500)
error: May-06-2023 02:29:38: 	/sign/in error (500)
error: May-06-2023 02:29:39: 	/sign/in error (500)
info: May-06-2023 02:29:45: 	Server started on port 3000
info: May-06-2023 02:29:45: 	Database connection established.
info: May-06-2023 02:33:52: 	Server started on port 3000
info: May-06-2023 02:33:53: 	Database connection established.
error: May-06-2023 02:34:07: 	/sign/in - Error (status 500): ReferenceError: error is not defined
info: May-06-2023 02:34:41: 	Server started on port 3000
info: May-06-2023 02:34:41: 	Database connection established.
error: May-06-2023 02:34:44: 	/sign/in - Error (status 500): undefined
info: May-06-2023 02:35:00: 	Server started on port 3000
info: May-06-2023 02:35:00: 	Database connection established.
error: May-06-2023 02:35:02: 	/sign/in - Error (status 500): error is not defined
info: May-06-2023 02:35:23: 	Server started on port 3000
info: May-06-2023 02:35:23: 	Database connection established.
info: May-06-2023 02:35:27: 	Server started on port 3000
info: May-06-2023 02:35:27: 	Database connection established.
info: May-06-2023 02:36:15: 	Server started on port 3000
info: May-06-2023 02:36:16: 	Database connection established.
info: May-06-2023 02:41:17: 	Server started on port 3000
info: May-06-2023 02:41:17: 	Database connection established.
info: May-06-2023 02:42:13: 	Server started on port 3000
info: May-06-2023 02:42:14: 	Database connection established.
info: May-06-2023 02:43:08: 	Server started on port 3000
info: May-06-2023 02:43:08: 	Database connection established.
info: May-06-2023 02:44:25: 	Server started on port 3000
info: May-06-2023 02:44:25: 	Database connection established.
error: May-06-2023 02:44:32: 	/sign/in - Error (500): testing
info: May-06-2023 02:45:06: 	Server started on port 3000
info: May-06-2023 02:45:06: 	Database connection established.
info: May-06-2023 02:45:38: 	Server started on port 3000
info: May-06-2023 02:45:39: 	Database connection established.
info: May-06-2023 02:46:49: 	Server started on port 3000
info: May-06-2023 02:46:49: 	Database connection established.
info: May-06-2023 02:48:03: 	Server started on port 3000
info: May-06-2023 02:48:03: 	Database connection established.
info: May-06-2023 02:48:06: 	Server started on port 3000
info: May-06-2023 02:48:06: 	Database connection established.
info: May-06-2023 02:48:36: 	Server started on port 3000
info: May-06-2023 02:48:36: 	Database connection established.
info: May-06-2023 02:50:51: 	Server started on port 3000
info: May-06-2023 02:50:52: 	Database connection established.
info: May-06-2023 02:51:28: 	Server started on port 3000
info: May-06-2023 02:51:29: 	Database connection established.
info: May-06-2023 02:52:50: 	Server started on port 3000
info: May-06-2023 02:52:50: 	Database connection established.
info: May-06-2023 02:54:01: 	Server started on port 3000
info: May-06-2023 02:54:01: 	Database connection established.
info: May-06-2023 02:57:19: 	Server started on port 3000
info: May-06-2023 02:57:19: 	Database connection established.
info: May-06-2023 02:57:23: 	User 1 logged in
info: May-06-2023 02:57:40: 	User 1 (admin) authenticated successfully
info: May-06-2023 02:57:40: 	Getting all the users (Admin)
info: May-06-2023 02:58:04: 	Server started on port 3000
info: May-06-2023 02:58:04: 	Database connection established.
info: May-06-2023 02:58:11: 	User 1 (admin) authenticated successfully
error: May-06-2023 02:58:11: 	delete/admin/users/:id - (User 1 deleting user 11) Error (500): etc
info: May-06-2023 03:03:38: 	Server started on port 3000
info: May-06-2023 03:03:38: 	Database connection established.
info: May-06-2023 03:06:16: 	Server started on port 3000
info: May-06-2023 03:06:17: 	Database connection established.
info: May-06-2023 03:08:46: 	Server started on port 3000
info: May-06-2023 03:08:46: 	Database connection established.
info: May-06-2023 03:12:24: 	Server started on port 3000
info: May-06-2023 03:12:24: 	Database connection established.
info: May-06-2023 03:12:45: 	Server started on port 3000
info: May-06-2023 03:12:45: 	Database connection established.
